Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
57,10,17,9.941176470588236,17,4,2.2712785316767246,3
58,11,19,9.944444444444445,18,4,2.059738936286267,4
59,9,15,6.055555555555555,18,4,2.199900140597865,4
60,7,11,5.555555555555555,18,4,2.4041994926468915,4
61,7,11,5.944444444444445,18,4,2.457842295446847,4
62,7,11,6.333333333333333,18,4,2.369870190806186,4
63,8,13,6.368421052631579,19,4,2.413808736898555,4
64,9,13,6.842105263157895,19,4,2.617104469935036,4
65,9,13,7.315789473684211,19,4,2.83775687270558,4
66,9,13,7.7894736842105265,19,4,3.205274511485725,4
67,11,16,7.9,20,4,3.432828462663289,4
68,10,14,8.4,20,4,3.464833801330974,4
69,10,14,8.9,20,4,3.6236123698971063,4
70,10,14,9.4,20,4,3.847143168742689,4
71,12,18,9.95,20,5,3.3140257318646476,4
72,11,16,10.5,20,5,3.2884190503149027,4
73,12,17,11.1,20,5,3.524562535775113,4
74,12,17,12.31578947368421,19,6,3.2866417876037675,4
75,13,19,12.947368421052632,19,7,2.8061137109031913,4
76,13,19,12.9,20,7,2.714033973688748,4
77,12,17,14.210526315789474,19,8,2.2254874678953054,4
78,13,19,14.842105263157896,19,9,1.77468494987544,4
79,13,19,15.526315789473685,19,9,1.994567468028995,4
80,14,21,15.4,20,9,2.11628142324518,4
81,13,19,16.05,20,9,2.359416997117775,4
82,13,19,17.57894736842105,19,10,1.965122401390992,4
83,13,19,18.263157894736842,19,10,2.171399256823102,4
84,14,21,18.0,20,10,2.1976943039476713,4
85,13,19,18.65,20,10,2.4216784108920795,4
86,13,19,19.3,20,10,2.5985653287040145,4
87,14,21,19.0,21,10,2.6403534234419888,4
88,13,19,19.61904761904762,21,10,2.722314131243998,4
89,13,19,21.25,20,11,2.2342227076352463,4
90,14,21,20.857142857142858,21,11,2.1329380401072435,4
91,14,20,21.523809523809526,21,11,1.9558772680213794,4
92,15,22,21.181818181818183,22,11,1.5044901142792342,4
93,12,18,19.045454545454547,22,11,1.266350646939417,4
94,13,20,20.428571428571427,21,12,0.909727927775996,4
95,13,20,21.047619047619047,21,12,1.173759015825237,4
96,13,20,21.666666666666668,21,12,1.3746797678152585,4
97,14,22,21.272727272727273,22,12,1.5547441527399848,4
98,13,20,21.863636363636363,22,12,1.7592819851335917,4
99,15,24,20.583333333333332,24,12,1.6557309915226963,4
100,13,20,21.125,24,12,1.596210367618025,5
101,14,22,21.708333333333332,24,12,1.6215063791194118,5
102,15,24,21.4,25,12,1.6331649850068897,5
103,17,26,21.192307692307693,26,12,1.5228298837912342,5
104,17,26,21.0,27,12,1.379489063379145,6
105,16,25,21.51851851851852,27,12,1.525884853317208,6
106,17,27,22.14814814814815,27,12,1.7986885868868652,6
107,17,27,22.77777777777778,27,12,2.0658523666945574,6
108,18,29,22.571428571428573,28,12,2.177021794187664,6
109,17,27,23.178571428571427,28,12,2.279170700585303,6
110,18,29,23.821428571428573,28,12,2.404370044896901,6
111,19,31,24.464285714285715,28,13,2.047584044691202,6
112,19,31,24.24137931034483,29,13,1.931095702247793,6
113,19,31,25.785714285714285,28,14,1.624546010532947,6
114,20,33,26.5,28,14,1.6281289275493829,6
115,21,34,27.25,28,14,1.6626916021178597,6
116,22,36,27.03448275862069,29,14,1.682879787198031,6
