Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed
48,7,9,5.357142857142857,14,3,2.906423954722455
49,6,7,5.785714285714286,14,3,3.0533039670475293
50,8,11,5.4375,16,3,2.7282850646647523
51,7,9,5.875,16,3,2.705778043886959
52,8,11,5.9411764705882355,17,3,2.6433225814128396
53,8,11,6.411764705882353,17,3,2.8833222463258785
54,9,13,7.375,16,4,2.439166338104943
55,10,15,7.470588235294118,17,4,2.0882174390961428
56,9,13,8.0,17,4,2.1474498735699004
57,10,14,8.588235294117647,17,4,2.2656110201842554
58,10,14,9.176470588235293,17,4,2.2578822839939563
59,13,20,9.333333333333334,18,4,2.0764094592908213
60,12,18,10.0,18,4,2.272207993793039
61,12,18,10.666666666666666,18,4,2.141805317625866
62,12,18,11.333333333333334,18,4,2.1506226808172295
63,12,18,12.0,18,4,2.265742506948877
64,12,18,12.666666666666666,18,4,2.2283960937888687
65,14,21,12.68421052631579,19,4,1.9809133328346324
66,14,21,12.7,20,4,1.8101949681701914
67,13,19,13.35,20,4,1.8571556581684263
68,14,21,14.05,20,4,2.016160051166456
69,13,19,12.380952380952381,21,4,2.060781163108221
70,10,13,11.952380952380953,21,4,2.0749303377566894
71,9,11,11.80952380952381,21,4,1.9654290441371434
72,12,16,11.727272727272727,22,5,1.4009049674416594
73,10,12,12.181818181818182,22,5,1.691215890380758
74,10,12,13.238095238095237,21,6,1.5164235095939176
75,10,12,13.714285714285714,21,6,1.877052270091161
76,12,16,12.956521739130435,23,6,2.0336968755718874
77,10,12,13.391304347826088,23,6,2.423829736922999
78,11,14,13.25,24,6,2.672674129389071
79,10,12,13.666666666666666,24,6,3.09211999437632
80,10,12,14.083333333333334,24,6,3.33919746275763
81,11,14,13.92,25,6,3.367078219125499
82,10,12,14.32,25,6,3.7175332819873232
83,12,15,14.192307692307692,26,6,3.7184761435761695
84,11,13,14.615384615384615,26,6,3.9227057551414477
85,12,15,15.68,25,7,3.8406163371202484
86,12,15,16.16,25,7,3.904386019279034
87,13,16,18.130434782608695,23,9,3.3152038330793316
88,14,18,18.695652173913043,23,10,2.9097619832634667
89,14,18,19.26086956521739,23,11,2.5032494331032558
90,14,16,19.869565217391305,23,11,2.721830733157553
91,15,18,19.625,24,11,2.8101577271346123
92,14,16,21.08695652173913,23,12,2.4478263741752
93,15,18,20.791666666666668,24,12,2.3300804189601494
94,14,16,21.375,24,12,2.2346353426692964
95,14,16,21.958333333333332,24,12,2.2736903350422093
96,17,22,21.72,25,12,2.1138676596215906
97,18,24,21.53846153846154,26,12,2.2330977995331014
98,17,22,22.115384615384617,26,13,1.8684680994551048
99,18,23,22.76923076923077,26,14,1.4844483037780545
100,17,21,23.423076923076923,26,14,1.7021958448066006
101,19,24,23.22222222222222,27,14,1.8022281010378594
102,17,21,24.73076923076923,26,15,1.6498856817635947
103,15,19,19.653846153846153,26,15,1.901596069263214
104,13,17,15.653846153846153,26,15,2.2006970280147398
105,13,18,13.692307692307692,26,16,1.779163805408128
106,11,15,11.73076923076923,26,16,1.8370568804271417
107,12,18,10.814814814814815,27,16,1.793018351489158
108,10,15,10.407407407407407,27,16,1.9113798497402312
109,10,16,10.407407407407407,27,16,2.0976735052732556
110,13,21,10.464285714285714,28,16,2.278902532815357
111,12,20,10.448275862068966,29,16,2.405829169314287
112,11,18,10.827586206896552,29,16,2.310952939495905
113,13,21,11.275862068965518,29,16,2.1942318156198906
114,14,23,11.758620689655173,29,16,2.238870142340811
115,15,24,12.275862068965518,29,16,2.328912940270495
116,17,28,12.4,30,16,2.486057464736675
117,15,25,12.766666666666667,30,16,2.7258035965554614
118,15,25,13.266666666666667,30,16,2.8806731134596086
119,15,25,13.766666666666667,30,16,3.131888310644347
120,15,25,14.266666666666667,30,16,3.397044319277016
121,17,28,14.8,30,17,3.2358018943694935
122,17,28,14.838709677419354,31,17,3.1413801658168037
123,17,27,15.9,30,18,2.913073334077833
124,17,27,16.466666666666665,30,18,2.949429216963366
