Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
56,8,11,4.619047619047619,21,4,1.6916045753295634,4
57,8,11,4.9523809523809526,21,4,2.0149304258551703,4
58,9,12,5.045454545454546,22,4,2.321280464570366,4
59,9,12,5.173913043478261,23,4,2.5676795522801465,4
60,8,10,5.521739130434782,23,4,2.9952973019679345,4
61,8,10,5.869565217391305,23,4,3.4300470540052332,4
62,9,12,5.958333333333333,24,4,3.621188637371113,4
63,8,10,6.291666666666667,24,4,3.9994566203234885,4
64,9,12,6.36,25,4,4.249591917376499,4
65,9,12,6.423076923076923,26,4,4.392504988424957,4
66,8,10,7.0,25,5,4.212409536331539,4
67,9,12,7.038461538461538,26,5,4.451638469673479,4
68,9,10,7.384615384615385,26,5,4.72471625482602,4
69,9,10,7.230769230769231,26,6,4.446053248836165,4
70,8,8,7.538461538461538,26,6,4.590081347614942,4
71,8,8,8.16,25,7,4.5705273008886955,4
72,9,9,8.52,25,7,4.956824340536897,4
73,10,11,9.652173913043478,23,10,3.9952889404573266,4
74,9,9,10.5,22,11,3.5849233525619506,5
75,10,11,11.476190476190476,21,12,3.090508486843044,5
76,13,16,11.5,22,12,2.8456924129827783,5
77,14,17,12.714285714285714,21,13,2.33310436804659,5
78,15,19,12.772727272727273,22,13,2.275086695976133,6
79,13,16,9.333333333333334,21,14,2.027398582851554,6
80,12,16,6.045454545454546,22,14,2.025702466239405,6
81,9,12,3.8181818181818183,22,14,2.038938705176262,6
82,8,12,3.217391304347826,23,14,1.9387753163666177,6
83,8,13,3.260869565217391,23,14,2.032836376036715,6
84,8,13,3.772727272727273,22,15,1.9640688524684449,6
85,8,13,4.136363636363637,22,15,2.2591554967024865,6
86,9,15,4.304347826086956,23,15,2.5259735841526254,6
87,9,15,4.458333333333333,24,15,2.5750579938222447,6
88,9,15,4.6,25,15,2.662149894320958,6
89,9,15,4.96,25,15,2.989739539327056,6
90,9,15,5.32,25,15,3.016396957335865,6
91,9,15,5.68,25,15,2.990092729695827,6
92,11,19,5.592592592592593,27,15,2.7905035245152425,6
93,9,15,5.925925925925926,27,15,3.0860076327746016,6
94,11,18,6.333333333333333,27,15,3.276518899772235,6
95,11,18,6.7407407407407405,27,15,3.422128257142736,6
96,12,20,6.892857142857143,28,15,3.4947222049956927,6
97,13,21,7.923076923076923,26,17,3.1640950368616454,6
98,12,19,8.346153846153847,26,17,3.4300730891251154,6
99,13,21,8.481481481481481,27,17,3.4466341997257106,6
100,13,21,8.925925925925926,27,18,3.087376953123175,7
101,12,19,9.37037037037037,27,18,3.1093472347715534,7
102,13,21,9.851851851851851,27,18,2.954405517055446,7
103,13,21,10.333333333333334,27,18,2.946041213247901,7
104,16,27,10.88888888888889,27,19,2.5203173078883174,0
105,13,22,7.928571428571429,28,19,2.516066704633953,0
106,11,17,7.178571428571429,28,19,2.883704939302657,0
107,11,17,7.0,26,21,2.6667278937689565,0
108,11,17,7.346153846153846,26,22,2.426875105093104,0
109,11,17,7.730769230769231,26,23,2.224774114045779,0
110,11,16,8.48,25,24,2.1631240244687593,0
111,12,18,8.576923076923077,26,24,2.2427504392909743,0
112,11,16,9.0,26,24,2.4701311549263187,0
113,11,16,9.423076923076923,26,24,2.8405648051312054,0
114,14,21,9.178571428571429,28,24,2.7785293201957537,0
