Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
303,-6744.5,1331.434,72.842,123
304,-3968.0,951.644,58.91,202
305,-6359.0,1210.756,61.456,196
306,-15807.0,2826.874,84.786,103
307,-8787.5,1616.734,75.14,166
308,-5591.0,946.824,52.18,185
309,-1073.0,335.326,31.872,224
310,-2480.0,712.02,53.668,185
311,-7087.0,1300.808,56.07,182
312,75.5,172.026,29.594,244
313,-754.5,306.982,34.574,252
314,-10860.5,1747.614,71.484,173
315,-5808.5,979.332,36.092,240
316,-6935.0,1229.554,53.376,169
317,-6789.5,1230.198,67.25,158
318,-5396.5,1036.838,57.974,206
319,-10105.5,1530.164,56.812,169
320,-3857.5,963.778,66.246,156
321,-10145.0,1783.638,78.988,147
322,-2669.0,578.38,41.512,237
323,-4666.5,1103.85,68.006,148
324,-5603.0,1171.478,65.688,127
325,-5537.5,1159.94,44.71,190
326,-464.0,313.46,34.92,231
327,-194.0,205.798,26.712,266
328,-2968.0,647.526,44.44,224
329,-4363.5,899.428,54.718,194
330,-2816.0,655.08,42.334,221
331,-5252.5,1007.328,60.36,209
332,-34564.5,10489.384,93.794,97
333,-10644.5,1757.014,78.944,93
334,-5824.0,1176.27,67.568,125
335,-11109.0,2014.844,86.036,136
336,-13142.5,2560.456,78.34,94
337,-9429.0,1588.094,76.986,167
338,-11747.5,1883.862,87.848,90
339,-15229.0,2735.564,73.448,150
340,-8415.5,1400.778,61.658,178
341,-4959.5,1018.97,56.268,180
342,-14653.5,2287.998,84.78,157
343,-15142.0,2429.792,87.132,91
344,-5204.0,1121.476,52.376,192
345,-1302.0,382.668,33.164,236
346,-7307.0,1493.254,48.682,197
347,-3552.5,709.988,44.556,218
348,-8536.0,1455.954,67.478,169
349,-7174.0,1349.982,58.804,193
350,-2160.0,594.462,51.638,237
351,-8669.0,1589.03,57.282,194
352,-2086.5,562.558,44.084,235
353,-468.5,251.462,30.58,272
354,-7956.0,1278.788,51.064,191
355,-5882.5,958.436,49.458,224
356,-10059.0,2243.804,66.016,171
357,-5012.0,1059.166,53.076,199
358,-4004.0,789.452,55.128,163
359,-14078.5,2198.826,84.66,86
360,-319.5,282.41,32.366,257
361,-1297.0,472.03,44.166,250
362,-11642.5,1827.296,78.172,145
363,-1172.0,385.122,33.804,238
364,-13755.5,2248.526,62.246,164
365,-4597.0,772.616,44.884,208
366,-9761.0,1633.66,76.47,109
367,-16663.5,2624.522,87.528,90
368,-10913.5,1723.364,64.604,197
369,-8984.5,1561.612,66.8,171
370,-513.5,276.422,35.15,249
371,-3260.0,699.614,39.394,261
372,-1579.0,571.784,54.378,208
373,-8736.5,1740.11,76.894,136
374,-1389.0,540.254,50.89,219
