Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
264,-30277.0,2633.32,88.218,61
265,-39656.0,3433.986,91.65,65
266,-49848.0,4496.94,97.146,53
267,-36336.0,2817.64,86.946,65
268,-44295.0,3377.446,95.96,50
269,-41734.0,3622.932,94.55,68
270,-29583.0,2393.888,87.328,74
271,-41783.0,3578.556,95.794,57
272,-57512.0,4502.23,102.134,49
273,-33071.0,2890.55,95.698,61
274,-47322.0,3688.028,98.846,44
275,-40970.0,3298.124,99.666,51
276,-34726.0,2852.804,89.85,58
277,-49661.0,6042.66,94.5,64
278,-29665.0,2926.68,89.062,54
