Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength
63,-15731.0,227,8.229371161846798,2.779146141215107
64,-16001.0,263,8.265139996636002,2.9860426929392454
65,-15952.0,251,7.986050779349117,2.91871921182266
66,-14542.0,224,8.679508669057585,2.686046511627907
67,-19161.0,243,8.45375200015561,3.3530377668308695
68,-19170.0,230,8.551842230778217,3.374384236453202
69,-13839.0,226,8.352114707159055,2.577175697865353
70,-14291.0,239,8.280530659977464,2.6034482758620694
71,-19545.0,229,8.737038757011062,3.3784893267651883
72,-18742.0,255,8.297829514933985,3.3341543513957306
73,-20395.0,231,8.475112427345321,3.52216748768473
74,-16608.0,249,8.377063607767818,3.03814935064935
75,-21710.0,216,8.722969873841533,3.647727272727273
76,-16535.0,236,8.284708195615096,2.9737274220032837
77,-18345.0,237,8.46601350950126,3.1931818181818183
78,-15292.0,222,8.422578067076422,2.788998357963875
79,-19819.0,229,8.709460101736017,3.416256157635468
80,-13789.0,223,8.297906810248604,2.5467980295566504
81,-16441.0,198,8.804056874847989,2.838474025974026
82,-15259.0,245,8.332013383928295,2.823051948051948
83,-21669.0,212,8.427236635301755,3.6469622331691296
84,-21174.0,247,8.541776255852945,3.690476190476191
85,-17001.0,231,8.424326654940934,3.0410509031198685
86,-17335.0,229,8.645904319310388,3.1206896551724137
87,-16878.0,236,8.396435185626109,2.9893267651888347
88,-17384.0,248,8.328032071591654,3.133928571428571
89,-17897.0,232,8.441109103970748,3.1396103896103895
90,-15722.0,247,8.351675609324529,2.8271103896103895
91,-15661.0,235,8.46866575385798,2.8262987012987013
92,-17614.0,239,8.457706663936706,3.1363636363636362
93,-15508.0,244,8.272303396149159,2.8490259740259742
94,-18317.0,227,8.333970618236167,3.1444805194805197
95,-20003.0,240,8.289111126814648,3.4634740259740266
96,-15392.0,228,8.5019998515187,2.7719155844155843
97,-16894.0,232,8.189633329633168,2.9407467532467533
98,-15356.0,226,8.405898972015928,2.760551948051948
99,-16130.0,242,8.231201700140813,2.9318181818181817
100,-16072.0,248,8.171939617626641,2.9001623376623376
101,-16440.0,238,8.455630748303925,2.926948051948052
102,-16962.0,225,8.581836776905368,2.9496753246753245
103,-14925.0,235,8.310331102144728,2.7183441558441555
104,-17080.0,218,8.572958020883643,2.9797077922077917
105,-13564.0,240,8.245315673041068,2.471590909090909
106,-17599.0,212,8.641875299938667,3.0251623376623376
107,-17760.0,229,8.484870800545126,3.0795454545454546
108,-16347.0,241,8.450555682148496,2.9699675324675328
109,-19081.0,233,8.607741350681865,3.299512987012987
110,-15834.0,237,8.485952686776217,2.792207792207792
111,-18071.0,212,8.4789596285226,3.16314935064935
112,-17583.0,243,8.263657919206581,3.0819805194805197
113,-18937.0,229,8.328159597727812,3.2605519480519476
114,-18090.0,234,8.275126434229236,3.1875
115,-18235.0,242,8.247709641344596,3.1907467532467533
116,-17226.0,227,8.314824324077557,3.0170454545454546
117,-19728.0,227,8.459555893265883,3.42288961038961
118,-14567.0,225,8.524344956234136,2.63474025974026
119,-17213.0,230,8.280960404312228,3.0657467532467533
